Category,Task,Status,Notes,Priority
Change Management,Obtain change approval from stakeholders,,,Critical
Change Management,Schedule maintenance window (if required),,,High
Change Management,Notify all teams about upgrade schedule,,,High
Change Management,Document upgrade reason and business justification,,,Medium
Change Management,Assign on-call engineer for upgrade window,,,High
Change Management,Prepare rollback plan and decision criteria,,,Critical
Pre-Upgrade: Planning,Review EKS release notes for target version (<TARGET_VERSION>),,,High
Pre-Upgrade: Planning,Review Kubernetes changelog for breaking changes,,,High
Pre-Upgrade: Planning,Check addon compatibility matrix (Karpenter, ArgoCD, etc.),,High
Pre-Upgrade: Planning,Identify deprecated APIs used in workloads,,,High
Pre-Upgrade: Planning,Review EKS Upgrade Insights recommendations,,,Critical
Pre-Upgrade: Planning,Estimate upgrade duration based on cluster size,,,Medium
Pre-Upgrade: Planning,Assess cost impact of upgrade (if applicable),,,Low
Pre-Upgrade: Backup,Backup all Kubernetes manifests: kubectl get all --all-namespaces -o yaml > backup-<DATE>.yaml,,,Critical
Pre-Upgrade: Backup,Backup Terraform state: terraform state pull > terraform-state-<DATE>.json,,,Critical
Pre-Upgrade: Backup,Export cluster configuration: aws eks describe-cluster --name <cluster_name> > cluster-config-<DATE>.json,,,High
Pre-Upgrade: Backup,Backup custom resource definitions (CRDs): kubectl get crds -o yaml > crds-<DATE>.yaml,,,High
Pre-Upgrade: Backup,Backup secrets (if not using external secret manager): kubectl get secrets --all-namespaces -o yaml > secrets-<DATE>.yaml,,,High
Pre-Upgrade: Backup,Verify backup integrity and accessibility,,,Critical
Pre-Upgrade: Baseline,Capture performance baseline metrics (CPU, memory, latency),,,High
Pre-Upgrade: Baseline,Record current pod count per namespace,,,Medium
Pre-Upgrade: Baseline,Document current node count and instance types,,,Medium
Pre-Upgrade: Baseline,Save current addon versions,,,High
Pre-Upgrade: Baseline,Record API server response times,,,Medium
Pre-Upgrade: Baseline,Document current cluster autoscaling behavior,,,Medium
Pre-Upgrade: Validation,Verify cluster is running on expected version (<CURRENT_VERSION>),,Critical
Pre-Upgrade: Validation,Check all workloads are healthy: kubectl get pods --all-namespaces | grep -v Running,,Critical
Pre-Upgrade: Validation,Verify no pending pods: kubectl get pods --all-namespaces --field-selector=status.phase!=Running,,Critical
Pre-Upgrade: Validation,Check node versions: kubectl get nodes -o wide,,High
Pre-Upgrade: Validation,Verify all nodes are Ready: kubectl get nodes | grep -v Ready,,Critical
Pre-Upgrade: Validation,Check Karpenter version compatibility,,High
Pre-Upgrade: Validation,Verify kubectl client version matches target version (<TARGET_VERSION>),,High
Pre-Upgrade: Validation,Open AWS Console → EKS → Cluster → Observability → Upgrade insights,,Critical
Pre-Upgrade: Validation,Refresh upgrade insights and verify all show Passing for <TARGET_VERSION>,,Critical
Pre-Upgrade: Validation,Verify Amazon Linux compatibility insight shows Passing,,Critical
Pre-Upgrade: Validation,Verify kube-proxy version skew insight shows Passing,,Critical
Pre-Upgrade: Validation,Verify EKS add-on version compatibility insight shows Passing,,Critical
Pre-Upgrade: Validation,Verify Cluster health issues insight shows Passing,,Critical
Pre-Upgrade: Validation,Verify Kubelet version skew insight shows Passing,,Critical
Pre-Upgrade: Validation,Test application smoke tests (critical workloads),,High
Pre-Upgrade: Validation,Verify network connectivity between pods,,High
Pre-Upgrade: Validation,Check storage classes and PVCs are healthy,,High
Pre-Upgrade: Validation,Verify ingress controllers are operational,,Medium
Pre-Upgrade: Validation,Test DNS resolution: kubectl run -it --rm test --image=busybox --restart=Never -- nslookup kubernetes.default,,Medium
Pre-Upgrade: Configuration,Update terraform.tfvars: kubernetes_version = <TARGET_VERSION>,,Critical
Pre-Upgrade: Configuration,Update addons.tf with compatible addon versions,,Critical
Pre-Upgrade: Configuration,Review Terraform plan: terraform plan -out=tfplan,,Critical
